citation_display,work_type,author,year,title,venue,editor,publisher,vol_issue,pages,url,region,subregion,topic,notes,source_file,source_sheet,id
平山輝男（1951）「北海道方言の音調」『音声学会会報』78 ,journal,平山輝男,1951,北海道方言の音調,音声学会会報,,,78,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
大谷敬ほか（1956）「新十津川村の方言について」『北海道地方史研究』19 ,journal,大谷敬ほか,1956,新十津川村の方言について,北海道地方史研究,,,19,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
石垣福雄（1958）「北海道方言における動詞の活用について」『国語学』34 ,journal,石垣福雄,1958,北海道方言における動詞の活用について,国語学,,,34,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
柴田武（1959）「北海道に生れた共通語」『言語生活』90 ,journal,柴田武,1959,北海道に生れた共通語,言語生活,,,90,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
城野光一（1959）「北海道第一世・二世・三世のことば」『言語生活』92 ,journal,城野光一,1959,北海道第一世・二世・三世のことば,言語生活,,,92,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
野元菊尾（1960）「北海道方言のアクセント」『計量国語学』15 ,journal,野元菊尾,1960,北海道方言のアクセント,計量国語学,,,15,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
野元菊尾（1960）「北海道語彙」『言語生活』106 ,journal,野元菊尾,1960,北海道語彙,言語生活,,,106,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1969）「北海道方言の語アクセント」『語学文学』7 ,journal,小野米一,1969,北海道方言の語アクセント,語学文学,,,7,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1974）「北海道方言研究史稿」『北海道教育大学紀要 第1部 A 人文科学編』25(1) ,journal,小野米一,1974,北海道方言研究史稿,北海道教育大学紀要 第1部 A 人文科学編,,,25(1),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
飯豊毅一（1976）「石垣福雄著「日本語と北海道方言」」『国語学』107 ,journal,飯豊毅一,1976,石垣福雄著「日本語と北海道方言」,国語学,,,107,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1977）「北海道方言研究史稿 補遺」『北海道教育大学紀要 第1部 A 人文科学編』27(2) ,journal,小野米一,1977,北海道方言研究史稿 補遺,北海道教育大学紀要 第1部 A 人文科学編,,,27(2),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
